location,ds,yhat,yhat_lower,yhat_upper
India,2020-03-26,-8897.574684843874,-50197.016222722865,33255.49034141378
India,2020-03-27,-9714.078583922586,-49940.29734045735,31204.069676458337
India,2020-03-28,-10489.310450682584,-51318.28278226846,31983.711935985946
India,2020-03-29,-11133.063479545961,-54372.93431370695,28302.48028763313
India,2020-03-30,-11831.237334648606,-51981.91458066661,29111.755010203382
India,2020-03-31,-12401.204680725237,-53018.618944431655,27404.195696059185
India,2020-04-01,-12916.54344428092,-52025.63220529691,28494.35477075199
India,2020-04-02,-13370.26432921824,-56780.3032013175,27259.660022681717
India,2020-04-03,-13702.222980598077,-50710.17679734663,27687.91938933674
India,2020-04-04,-13936.266317715474,-55564.637051427686,23550.372075095085
India,2020-04-05,-13990.118291947645,-53852.71931321512,25605.711994668032
India,2020-04-06,-14057.466138737596,-51190.75479850615,24830.00953635245
India,2020-04-07,-13963.17414050634,-52364.83082446303,28762.072210349972
India,2020-04-08,-13787.894439381464,-52366.79238638596,25612.628787469206
India,2020-04-09,-13531.206398818862,-56358.488424459596,25746.260763251063
India,2020-04-10,-13138.97462617986,-51623.01744265863,25677.684050295946
India,2020-04-11,-12640.474652885689,-49414.73011384793,29066.020891579014
India,2020-04-12,-11958.289812571864,-50406.021049865885,28035.067245453327
India,2020-04-13,-11290.437570774873,-50238.54173319038,30869.71165652353
India,2020-04-14,-10465.64852899344,-51989.09269418535,27644.104336212156
India,2020-04-15,-9568.063022690443,-48496.28205289774,29577.405767697168
India,2020-04-16,-8600.471543807776,-46195.77355290025,33694.801408484964
India,2020-04-17,-7511.783377112776,-46419.13793692643,29783.11620249331
India,2020-04-18,-6334.2664769067815,-44915.34115438058,33512.89306683783
India,2020-04-19,-4993.556119397932,-44250.23584914959,34953.596236415404
India,2020-04-20,-3690.8847552090783,-43263.305745600155,35140.3898360431
India,2020-04-21,-2258.450834867386,-41572.97842529593,38370.971993594496
India,2020-04-22,-784.1866450955386,-40987.33374831082,36787.45387738152
India,2020-04-23,745.2896124820772,-38937.710896130164,42686.9465663959
India,2020-04-24,2356.172104417662,-39739.9998811298,40810.501422591464
